,query_string_n,count,amount,verif_match,audit_type,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
2750,DR SK MAITI AND PARTNERS,85,3703868.0,Named Doctor,1,MAITI CHILDRENS TRUST,MAITY CONSULTING LIMITED,SK AND PARTNERS LIMITED,14.964922,14.964922,14.825525,18.0,21.0,17.0
2751,DR SK MAYOR,64,4024750.0,Named Doctor,1,DR SK CHATTOPADHYAYS PRACTICE,DR SK JETHWAS PRACTICE,DR SK KOCUR LIMITED,14.592939000000001,14.592939000000001,14.592939000000001,20.0,14.0,12.0
2752,DR SK PATEL AND PARTNERS,57,3147169.0,Named Doctor,1,DR A PATEL,SK PATEL LIMITED,DR PM PATEL,19.402061,18.428226000000002,16.977386,15.0,13.0,15.0
2753,DR SK PITALIA AND PARTNERS NEWTON WILLOWS,9,245907.0,Named Doctor,1,PITALIA S,NEWTON WILLOW LIMITED,DR NEWTON LIMITED,18.126503,16.925910000000002,16.018267,32.0,35.0,30.0
2754,DR SK PITALIA AND PARTNERS WIDNES,69,489610.0,Named Doctor,1,PITALIA S,SK AND PARTNERS LIMITED,SK PARTNERS LIMITED,18.126503,14.825525,14.825525,24.0,16.0,20.0
2755,DR SK RATNAM,5,104824.0,Named Doctor,1,DR SK RATNAMS PRACTICE,RATNAM FOUNDATION,DR SK CHATTOPADHYAYS PRACTICE,26.698439,15.563266,14.592939000000001,10.0,14.0,20.0
2756,DR SK SEN,5,98618.0,Named Doctor,1,DR SK CHATTOPADHYAYS PRACTICE,DR SK JETHWAS PRACTICE,DR SK KOCUR LIMITED,14.592939000000001,14.592939000000001,14.592939000000001,22.0,15.0,12.0
2757,DR SL COLLIER AND PARTNERS,62,4552027.0,Named Doctor,1,SL PARTNER LIMITED,COLLIER AND PARTNERS CONSULTANTS LIMITED,COLLIER AND COLLIER LIMITED,15.288046,14.260477999999999,13.709553,18.0,26.0,19.0
2758,DR SL DATOO,29,674510.0,Named Doctor,1,DATOO SERVICES LIMITED,MUSTAFA A DATOO LIMITED,NOOR DATOO ENGINEERING LIMITED,14.964922,14.964922,13.302507,17.0,17.0,25.0
2759,DR SL GHOSEBREEZE HILL PRACTICE,1,49894.0,Named Doctor,1,DR A ARORAS PRACTICE,DR A CALOWS PRACTICE,DR A GUPTAS PRACTICE,14.632857999999999,14.632857999999999,14.632857999999999,16.0,18.0,17.0
2760,DR SLADE AND PARTNERS,2,159130.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,5.0,5.0,6.0
2761,DR SLATER AND PARTNERS,74,6515999.0,Named Doctor,1,SLATER AND PARTNERS LIMITED,SLATER AND SLATER LIMITED,DR A AZAM AND PARTNERS,15.850542,13.450148,13.374683,11.0,15.0,5.0
2762,DR SM CHUDLEY AND PARTNERS,40,2345898.0,Named Doctor,1,DR SM CONSULTING LIMITED,CHUDLEY ASSOCIATES LIMITED,MARK CHUDLEY LIMITED,14.566388,14.158697,14.158697,16.0,22.0,15.0
2763,DR SM HUNT,67,3331695.0,Named Doctor,1,DB AND SM HUNT LIMITED,DR SM CONSULTING LIMITED,DR HUNT AND ASSOCIATES LIMITED,15.678279999999999,14.566388,14.41516,13.0,15.0,24.0
2764,DR SM JEFFERIES,9,1034251.0,Named Doctor,1,DR SM CONSULTING LIMITED,THE MEDICAL CENTRE DR JEFFERIES AND PARTN,DR JEFFERY GROUNDWORKS BUILDING CONTRACTOR LIMITED,14.566388,14.512332999999998,13.193257999999998,16.0,28.0,42.0
2765,DR SM LANE,65,3325576.0,Named Doctor,1,DR SM CONSULTING LIMITED,COTTAM LANE DR NATH,DR SJ LANES PRACTICE,14.566388,12.7609625,12.7609625,15.0,13.0,11.0
2766,DR SMA FAROOQI AND PARTNERS,61,3002214.0,Named Doctor,1,A FAROOQI LIMITED,SMA AND PARTNERS LIMITED,SMA PARTNERS LIMITED,17.102184,17.00475,17.00475,15.0,19.0,19.0
2767,DR SMITH A AND PARTNERS,88,3285062.0,Named Doctor,1,DR SMITHS CHARITY,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.561266,13.374683,13.374683,12.0,7.0,7.0
2768,DR SMITH AND TAYLOR,83,2976382.0,Named Doctor,1,SMITH TAYLOR SMITH LIMITED,DR SMITHS CHARITY,SMITH AND TAYLOR LIMITED,15.408031,14.561266,14.494251,19.0,10.0,11.0
2769,DR SMITH R R AND PARTNERS,30,1703523.0,Named Doctor,1,DR R KAPUR AND PARTNERS,DR G R SMITH LIMITED,D R SMITH AND PARTNER LIMITED,22.076763,20.818820000000002,19.545885000000002,8.0,17.0,13.0
2770,DR SN MEDLEY AND PARTNERS,72,2505609.0,Named Doctor,1,DR SN CLAY AND PARTNERS,SN PARTNERS LIMITED,DR SN RAMAMOORTHYS PRACTICE,20.988917999999998,16.129013,15.751627,4.0,20.0,17.0
2771,DR SNEHA MUTHALALI,1,30302.0,Named Doctor,1,SNEHA 14 LIMITED,SNEHA AND CO LIMITED,SNEHA INFOTECH LIMITED,14.158697,14.158697,14.158697,13.0,15.0,15.0
2772,DR SNU HASSAN AND PARTNER,69,2207099.0,Named Doctor,1,SNU,SNU,SNU LIMITED,19.314182000000002,19.314182000000002,16.555767000000003,22.0,22.0,19.0
2773,DR SO ALI,40,776688.0,Named Doctor,1,DR ALI ALI LIMITED,DR ALI SURGERY,DR AKBER ALI LIMITED,17.77589,16.414602,14.591145499999998,11.0,10.0,13.0
2774,DR SOE LWIN,2,30266.0,Named Doctor,1,DR T LWIN,SOE,SOE LIMITED,22.181960999999998,17.529154000000002,15.025673999999999,3.0,8.0,8.0
2775,DR SOE YIN,2,53684.0,Named Doctor,1,SOE,SOE LIMITED,YIN LIMITED,17.529154000000002,15.025673999999999,13.50676,7.0,9.0,10.0
2776,DR SOMERS HESLAM,31,829286.0,Named Doctor,1,SOMER,HESLAM HOMES LIMITED,J R HESLAM TRUST,14.972335000000001,14.964922,13.302507,11.0,15.0,13.0
2777,DR SOUMAKIYAN,2,60944.0,Named Doctor,1,DR AND DR LIMITED,DR ANDERSON AND DR AHMED,DR DEGUN AND DR MACAULAY,10.106287,9.319778,9.319778,13.0,17.0,17.0
2778,DR SOYANNWO T,4,86264.0,Named Doctor,1,DR T KRISHNAMURTHY,DR T LWIN,DR ABELA T PRACTICE,13.783732999999998,13.783732999999998,12.252533999999999,13.0,9.0,14.0
2779,DR SPAGNOLI AND PARTNERS,59,3921521.0,Named Doctor,1,SPAGNOLI LIMITED,LUISA SPAGNOLI UK LIMITED,DR A AZAM AND PARTNERS,17.508952999999998,13.618904,13.374683,13.0,15.0,7.0
2780,DR SPANNUTH F AND PARTNERS,68,4523499.0,Named Doctor,1,DR F KHAN,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.406560999999998,13.374683,13.374683,19.0,9.0,9.0
2781,DR SPARROW AND PTRS,43,2407784.0,Named Doctor,1,DR INGRAM AND PTRS,JORDAN PTRS LIMITED,PTRS HOLDINGS LIMITED,21.96968,14.486792999999999,14.486792999999999,6.0,17.0,18.0
2782,DR SPEAK N J AND PARTNERS,47,4532717.0,Named Doctor,1,DR N DUMPHY AND PARTNERS,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,17.730892,16.569315,16.569315,9.0,8.0,9.0
2783,DR SPECHT AND PARTNERS,67,3086526.0,Named Doctor,1,SPECHT KALLEJA AND PARTNER INVESTMENT LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,17.403254999999998,13.374683,13.374683,29.0,6.0,6.0
2784,DR SPENCER AND PARTNERS,1,25537.0,Named Doctor,1,DR SPENCER AND PARTNERS,DR HELEN SPENCER LIMITED,DR A AZAM AND PARTNERS,22.22215,14.516257999999999,13.374683,0.0,16.0,7.0
2785,DR SPENCER AND PTRS,42,1976485.0,Named Doctor,1,DR INGRAM AND PTRS,DR SPENCER AND PARTNERS,DR HELEN SPENCER LIMITED,21.96968,16.330357,14.516257999999999,7.0,4.0,13.0
2786,DR SPITTLE AND PARTNERS,37,1970004.0,Named Doctor,1,A J SPITTLES LIMITED,MARTIN SPITTLE LIMITED,TIM SPITTLES LIMITED,14.310076,14.310076,14.310076,14.0,15.0,14.0
2787,DR SPRAKE AND PARTNERS,53,3249526.0,Named Doctor,1,J SPRAKE AND PARTNERS LIMITED,L SPRAKE LIMITED,SPRAKE AND TYRRELL LIMITED,17.342789,13.618323,13.618323,10.0,12.0,17.0
2788,DR SR BASSI,42,1518778.0,Named Doctor,1,AS BASSI LIMITED,BASSI LIMITED,A BASSI CONSULTANCY LIMITED,13.5609,13.5609,11.866192999999999,12.0,11.0,23.0
2789,DR SR BAXTER AND PARTNERS,246,21050999.0,Named Doctor,1,DR PS BAXTER LIMITED,SR PARTNERS LIMITED,SR INVESTMENT PARTNERS LIMITED,15.349554000000001,15.062207999999998,13.388986,12.0,17.0,20.0
2790,DR SR GIBBINS,53,1978614.0,Named Doctor,1,THOMAS GIBBINS,THOMAS GIBBINS,A AND N GIBBINS LIMITED,14.335928,14.335928,12.544367,6.0,6.0,15.0
2791,DR SR SREEHARI AND PARTNERS,55,2559822.0,Named Doctor,1,SREEHARI LIMITED,SR PARTNERS LIMITED,SR INVESTMENT PARTNERS LIMITED,18.126503,15.062207999999998,13.388986,16.0,20.0,21.0
2792,DR SR YANNAMANI AND PARTNER,1,27495.0,Named Doctor,1,NEELIMA YANNAMANI LIMITED,SR PARTNERS LIMITED,SR INVESTMENT PARTNERS LIMITED,15.861232999999999,15.062207999999998,13.388986,16.0,20.0,23.0
2793,DR SREELAXMI CHOUDARAPU,4,264141.0,Named Doctor,1,DR AND DR LIMITED,DR ANDERSON AND DR AHMED,DR DEGUN AND DR MACAULAY,10.106287,9.319778,9.319778,18.0,18.0,19.0
2794,DR SRINIVAS CHITTIMALI AND DR IJAZ HAYAT,5,75451.0,Named Doctor,1,DR AND DR LIMITED,DR ANDERSON AND DR AHMED,DR DEGUN AND DR MACAULAY,20.212574,18.639557,18.639557,30.0,25.0,27.0
2795,DR SRINIVASAN AND PARTNER,64,2008522.0,Named Doctor,1,MAKARAM SRINIVASAN LIMITED,SRINIVASAN AND COMPANY LIMITED,SRINIVASAN ENTERPRISES LIMITED,13.802762,13.802762,13.802762,15.0,15.0,19.0
2796,DR SRIPURAM AND PARTNER,5,184889.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,7.0,9.0,9.0
2797,DR SRIRAMULU AND PARTNERS,41,2553684.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,7.0,8.0,9.0
2798,DR SRIVASTAVA S K,3,98867.0,Named Doctor,1,DR AK SRIVASTAVAS PRACTICE,DR S K DUTTA LIMITED,DR S K SERAJ LIMITED,19.954142,15.442762,15.442762,12.0,14.0,15.0
2799,DR SRM BROOKE AND PARTNERS,96,4706972.0,Named Doctor,1,SRM CONSULTING PARTNERS LIMITED,SRM,BROOK PARTNERS LIMITED,14.919385,14.521595999999999,13.68685,20.0,23.0,20.0
2800,DR SS BASRA,2,70493.0,Named Doctor,1,BASRA AND BASRA LIMITED,DR SS PANDITS PRACTICE,DR SS SODHIS PRACTICE,16.748888,14.730960999999999,14.730960999999999,15.0,12.0,12.0
2801,DR SS GORAYA,18,607603.0,Named Doctor,1,DR SS PANDITS PRACTICE,DR SS SODHIS PRACTICE,GORAYA CORPORATION LIMITED,14.730960999999999,14.730960999999999,13.618323,14.0,12.0,21.0
2802,DR SS MATHARU,64,1360093.0,Named Doctor,1,DR SS PANDITS PRACTICE,DR SS SODHIS PRACTICE,JASMIN MATHARU LIMITED,14.730960999999999,14.730960999999999,12.950536,13.0,13.0,14.0
2803,DR SS PATEL AND PTNRS,39,1549926.0,Named Doctor,1,DR AHMAD AND PTNRS,DR A PATEL,DR PM PATEL,22.803747,19.402061,16.977386,7.0,12.0,12.0
2804,DR SS SAPRE BOOTLE,4,109835.0,Named Doctor,1,MAGHULL HEALTH CENTRE DR SAPRE,SAPRS LIMITED,DR SS PANDITS PRACTICE,17.576588,16.555767000000003,14.730960999999999,24.0,13.0,12.0
2805,DR SS SAPRE MAGHULL,12,144905.0,Named Doctor,1,MAGHULL HEALTH CENTRE DR SAPRE,SAPRS LIMITED,DR SS PANDITS PRACTICE,26.750870000000003,16.555767000000003,14.730960999999999,25.0,14.0,13.0
2806,DR SS SAPRE WESTWAY,1,32810.0,Named Doctor,1,MAGHULL HEALTH CENTRE DR SAPRE,SAPRS LIMITED,DR SS PANDITS PRACTICE,17.576588,16.555767000000003,14.730960999999999,24.0,14.0,13.0
2807,DR SS SHERGILL,52,3788275.0,Named Doctor,1,DR SS PANDITS PRACTICE,DR SS SODHIS PRACTICE,AS SHERGILL LIMITED,14.730960999999999,14.730960999999999,13.875312,13.0,11.0,12.0
2808,DR SS SINGH AND PARTNERS,76,8405486.0,Named Doctor,1,DR SP SINGH AND PARTNERS,DR O S SINGH AND PARTNER,DR SINGH LIMITED,19.730663,17.757975,16.30461,1.0,3.0,13.0
2809,DR STACK M M AND PTNS,74,4861183.0,Named Doctor,1,STACK M HIGH LIMITED,DR M EHSAN,DR M MURUGAN,19.105824,18.51643,18.51643,14.0,15.0,14.0
2810,DR STACPOOLE AND PARTNERS,75,4119345.0,Named Doctor,1,THE STACPOOLE TRUST,JULIA HONORIA STACPOOLE,JULIA HONORIA STACPOOLE,16.555767000000003,14.486792999999999,14.486792999999999,14.0,21.0,21.0
2811,DR STALKER AND PARTNER,25,1138742.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,7.0,6.0,6.0
2812,DR STEAD AND PARTNERS,102,7444238.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,5.0,4.0,5.0
2813,DR STEDMAN AND PARTNERS,91,5792875.0,Named Doctor,1,STEDMAN LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.408125,13.374683,13.374683,13.0,6.0,6.0
2814,DR STEINHARDT AND PARTNERS,94,5697575.0,Named Doctor,1,STEINHARDT HOLDINGS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,14.964922,13.374683,13.374683,17.0,9.0,8.0
2815,DR STEPHEN MURDOCH,1,90680.0,Named Doctor,1,DR STEPHEN DODD,DR DAVID STEPHENS LIMITED,DR STEPHEN CARRBAINS LIMITED,15.511976,13.788791,13.788791,5.0,14.0,16.0
2816,DR STEPHENSON AND PARTNERS,87,5595019.0,Named Doctor,1,DR STEPHENSON AND PARTNERS,STEPHENSON GENERAL PARTNER LIMITED,DR A AZAM AND PARTNERS,23.393660999999998,14.143285,13.374683,0.0,17.0,10.0
2817,DR STERN AND PARTNERS,247,9628657.0,Named Doctor,1,STERN PARTNERS LIMITED,STERN YOUNG AND PARTNERS LIMITED,STERN AND STERN CONSULTING LIMITED,17.148838,15.243817000000002,14.020407,15.0,17.0,24.0
2818,DR STEWART AND PARTNERS,106,7734716.0,Named Doctor,1,STEWART AND PARTNERS LIMITED,DR SARAH STEWART LIMITED,DR A AZAM AND PARTNERS,14.510027,14.312489499999998,13.374683,11.0,16.0,6.0
2819,DR STEWART AND PERKINS,54,1468938.0,Named Doctor,1,DR WILLIAM PERKINS LIMITED,DR SARAH STEWART LIMITED,PERKINS AND PERKINS LIMITED,15.838637,14.312489499999998,13.958448,17.0,16.0,18.0
2820,DR STORER A AND PARTNERS,69,5309314.0,Named Doctor,1,THE STORERS,HENRY STORER,JOHN STORER,15.909198000000002,13.637077,13.637077,17.0,19.0,19.0
2821,DR SUBASH CHANDRAN S,41,1408870.0,Named Doctor,1,DR S CHANDRAN PRACTICE,S CHANDRAN LIMITED,CHANDRAN FOUNDATION,23.939220000000002,19.448013,15.895039,13.0,15.0,16.0
2822,DR SUBBIAH AND PARTNERS,77,3181540.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,6.0,7.0,7.0
2823,DR SUCHDEV AND PARTNERS,51,2064188.0,Named Doctor,1,INDIRA SUCHDEV FOUNDATION,SUCHDEV EQUIPMENT LIMITED,DR A AZAM AND PARTNERS,15.320858,15.320858,13.374683,14.0,18.0,7.0
2824,DR SUMMERFIELD AND PARTNERS,77,7195663.0,Named Doctor,1,SUMMERFIELD PCC DR SALIM,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,16.516094,13.374683,13.374683,14.0,11.0,8.0
2825,DR SUNAK AND PARTNERS,24,848549.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,5.0,5.0,7.0
2826,DR SURDHAR H S,81,2941064.0,Named Doctor,1,DR H S SINDHER LIMITED,DR S H LOCUM LIMITED,SURDHAR FITNESS LIMITED,15.489332999999998,15.489332999999998,14.486792999999999,14.0,15.0,17.0
2827,DR SURI LONDON,19,524216.0,Named Doctor,1,DR AS SURIS PRACTICE,SURI LIMITED,SURIEDLY LIMITED,20.347023,14.701364000000002,14.701364000000002,12.0,9.0,13.0
2828,DR SURI WALSALL,78,2967999.0,Named Doctor,1,DR AS SURIS PRACTICE,SURI LIMITED,SURIEDLY LIMITED,20.347023,14.701364000000002,14.701364000000002,11.0,10.0,14.0
2829,DR SUTCLIFFE AND PARTNERS,61,4149335.0,Named Doctor,1,DR FIONA SUTCLIFFE LIMITED,SUTCLIFFE BARKER AND PARTNERS LIMITED,SUTCLIFFE AND SUTCLIFFE PROJECTS LIMITED,16.59571,15.181366,13.932904,16.0,18.0,26.0
2830,DR SUTER AND PARTNERS,159,7117059.0,Named Doctor,1,SUTER LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.156495999999999,13.374683,13.374683,13.0,6.0,4.0
2831,DR SV BAPODRA,5,164347.0,Named Doctor,1,BELGRAVE SURGERY SV BAPODRA,SV,SV LIMITED,23.334751,13.851779999999998,11.873495,15.0,11.0,10.0
2832,DR SWINDELL AND PARTNERS,93,4767448.0,Named Doctor,1,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,DR AKESTER AND PARTNERS,13.374683,13.374683,13.374683,8.0,7.0,7.0
2833,DR SWINSCOE AND PARTNERS,96,7738288.0,Named Doctor,1,J SWINSCOE LIMITED,SWINSCOE CARE LIMITED,THE SWINSCOE PARTNERSHIP LIMITED,14.158697,14.158697,14.158697,12.0,13.0,18.0
2834,DR SYED ZAIDI AND ASSOCIATES,35,1595848.0,Named Doctor,1,DR SYED AND DR JAFFRI LIMITED,DR SYED NASARUDDIN LIMITED,SYED AND ASSOCIATES LIMITED,16.713509,15.614401999999998,14.558943,16.0,15.0,17.0
2835,DR SYKES A J AND PARTNERS,183,16979046.0,Named Doctor,1,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,SYKES PARTNERS LIMITED,16.569315,16.569315,15.995795999999999,9.0,9.0,17.0
2836,DR SYKES AND PARTNERS,205,6571571.0,Named Doctor,1,SYKES PARTNERS LIMITED,DR A AZAM AND PARTNERS,DR AHMED AND PARTNERS,15.995795999999999,13.374683,13.374683,15.0,6.0,4.0
2837,DR SYLVESTER NYATSURO,42,1294260.0,Named Doctor,1,ACTIVE SYLVESTER LIMITED,BENEDYKT AND SYLVESTER LIMITED,PAUL SYLVESTER LIMITED,11.932851,11.932851,11.932851,14.0,19.0,12.0
2838,DR SYMES AND PARTNERS,39,2085924.0,Named Doctor,1,EDWARD SYME,IRIS SYME,DR A AZAM AND PARTNERS,13.677045999999999,13.677045999999999,13.374683,16.0,17.0,6.0
2839,DR T A WALMSLEY AND PARTNERS,46,1946747.0,Named Doctor,1,DR T P FOX AND PARTNERS,DR T KRISHNAMURTHY,DR T LWIN,15.741176999999999,13.783732999999998,13.783732999999998,9.0,19.0,21.0
2840,DR T ABELA AND PARTNERS,84,6747257.0,Named Doctor,1,DR ABELA T PRACTICE,ABELA LIMITED,DR T P FOX AND PARTNERS,24.521984,15.774045000000001,15.741176999999999,11.0,15.0,5.0
2841,DR T ARYA,11,317507.0,Named Doctor,1,DR DONNA ARYA LIMITED,DR T KRISHNAMURTHY,DR T LWIN,16.845066,13.783732999999998,13.783732999999998,13.0,11.0,4.0
2842,DR T B PATEL AND PARTNERS,188,8507752.0,Named Doctor,1,DR A PATEL,DR PM PATEL,DR VM PATEL,19.402061,16.977386,16.977386,16.0,16.0,16.0
2843,DR T BLUMENFELD AND PARTNERS,41,1281309.0,Named Doctor,1,BLUMENFELD CONSULTING LIMITED,DR T P FOX AND PARTNERS,DR T KRISHNAMURTHY,15.861232999999999,15.741176999999999,13.783732999999998,21.0,9.0,19.0
2844,DR T C CAMPION AND PARTNERS,132,10027855.0,Named Doctor,1,DR T P FOX AND PARTNERS,DR T C SMITH LIMITED,T C C T,15.741176999999999,15.623717999999998,15.002813,7.0,15.0,20.0
2845,DR T E MARKEY AND PARTNERS,72,6289508.0,Named Doctor,1,DR T P FOX AND PARTNERS,A T E T,T T E,15.741176999999999,14.976887,14.976887,7.0,20.0,22.0
2846,DR T G J HEALY,116,4634544.0,Named Doctor,1,DR HEALY LIMITED,J HEALY LIMITED,T J AND A G LIMITED,18.678207,16.460617000000003,15.644648000000002,12.0,14.0,15.0
2847,DR T GAIR AND PARTNERS,295,8390804.0,Named Doctor,1,DR T P FOX AND PARTNERS,GAIR FUND,GAIR LIMITED,15.741176999999999,14.749726999999998,14.749726999999998,5.0,16.0,15.0
2848,DR T GOONERATNE,1,60691.0,Named Doctor,1,DR T KRISHNAMURTHY,DR T LWIN,DR ABELA T PRACTICE,13.783732999999998,13.783732999999998,12.252533999999999,11.0,9.0,12.0
2849,DR T GUNASUNTHARAM,40,1137693.0,Named Doctor,1,DR GUNASUNTHARAM SURGERY,DR T KRISHNAMURTHY,DR T LWIN,23.344122,13.783732999999998,13.783732999999998,10.0,11.0,12.0
2850,DR T H MACKENZIE AND PARTNERS,93,6640370.0,Named Doctor,1,DR THM MACKENZIE AND PARTNERS,DR H T MANZUR LIMITED,DR H P BORSE AND PARTNER,20.511656,16.098534,15.771278,2.0,17.0,11.0
2851,DR T H TOOSY,59,1858038.0,Named Doctor,1,DR H T MANZUR LIMITED,TOOSI TRAVEL LIMITED,T H T,16.098534,15.320858,14.848304999999998,15.0,17.0,7.0
2852,DR T HAMMOND,1,203021.0,Named Doctor,1,DR HAMMOND AESTHETICS LIMITED,DR TM HAMMOND AND PARTNERS,T HAMMOND FARMS LIMITED,15.211654000000001,15.211654000000001,14.160919,21.0,14.0,17.0
2853,DR T HARIHARAN AND PARTNERS,24,839380.0,Named Doctor,1,HARIHARAN HEALTHCARE LIMITED,DR T P FOX AND PARTNERS,DR T KRISHNAMURTHY,15.861232999999999,15.741176999999999,13.783732999999998,20.0,9.0,16.0
2854,DR T J KING,163,3288507.0,Named Doctor,1,DR T J BOYD LIMITED,DR T J BUCKINGHAM LIMITED,DR T J EDWARDS LIMITED,15.239957,15.239957,15.239957,11.0,14.0,14.0
2855,DR T KAZMI AND DR TEWARY,82,2944359.0,Named Doctor,1,DR KAZMI PSYCHIATRY LIMITED,DR MAJID KAZMI LIMITED,DR T KRISHNAMURTHY,24.898804000000002,24.898804000000002,21.266623000000003,18.0,16.0,13.0
2856,DR T L PHILLIPS,5,210942.0,Named Doctor,1,DR L T TAN LIMITED,L T T,A L T,16.133432,14.891924,14.494285999999999,11.0,12.0,12.0
2857,DR T LYNCH AND PARTNERS,39,3444543.0,Named Doctor,1,DR T P FOX AND PARTNERS,DR MARY LYNCH LIMITED,EMMA T LYNCH LIMITED,15.741176999999999,15.54026,14.489526000000001,5.0,14.0,14.0
2858,DR T M DAVIES AND PARTNERS,82,6875372.0,Named Doctor,1,DR D M DAVIES PRIZE,DR T P FOX AND PARTNERS,M T DAVIES IT SERVICES LIMITED,16.522373,15.741176999999999,15.576692999999999,10.0,7.0,21.0
2859,DR T M SPIELMANN AND PARTNERS,87,4173892.0,Named Doctor,1,MAX SPIELMANN LIMITED,DR T P FOX AND PARTNERS,DR M T KHAN LIMITED,15.861232999999999,15.741176999999999,15.441142999999999,16.0,10.0,19.0
2860,DR T MANJOORAN AND PARTNERS,103,7309394.0,Named Doctor,1,DR T P FOX AND PARTNERS,DR T KRISHNAMURTHY,DR T LWIN,15.741176999999999,13.783732999999998,13.783732999999998,8.0,18.0,21.0
2861,DR T P FOX AND PARTNERS,183,9344589.0,Named Doctor,1,DR T P FOX AND PARTNERS,DR PAL P AND PARTNER,DR H P BORSE AND PARTNER,26.895359999999997,17.243181,15.519194,0.0,7.0,6.0
2862,DR T P S BLOCH AND PARTNERS,45,2633112.0,Named Doctor,1,DR T P FOX AND PARTNERS,S P P T T,S P T,20.56011,18.672964,17.863602,6.0,21.0,23.0
2863,DR T PICKWORTH,1,26017.0,Named Doctor,1,CAMPION PICKWORTH LIMITED,PICKWORTH AND CO LIMITED,PICKWORTH AND SON LIMITED,14.026295000000001,14.026295000000001,14.026295000000001,15.0,20.0,21.0
2864,DR T PRADHAN AND PARTNERS,72,7065874.0,Named Doctor,1,C AND T PRADHANS LIMITED,DR T P FOX AND PARTNERS,PRADHAN AND CO LIMITED,17.87035,15.741176999999999,13.802762,16.0,6.0,15.0
2865,DR T S SHEARD,160,4634505.0,Named Doctor,1,S SHEARD AND SON LIMITED,SHEARDS LIMITED,T T S,15.901159,14.112599,14.049213,18.0,12.0,9.0
2866,DR T SULEMAN,1,95435.0,Named Doctor,1,A SULEMAN LIMITED,SULEMAN LIMITED,SULEMAN TRUST,14.371488000000001,14.371488000000001,14.371488000000001,12.0,13.0,11.0
2867,DR T TOBIN AND PARTNERS TA BUSHLOE SURGERY,4,317103.0,Named Doctor,1,BUSHLOE SURGERY,THE SURGERY DR DAS AND PARTNERS,THE SURGERY DR DASGUPTA AND PARTNERS,25.951407999999997,18.455679,18.455679,27.0,31.0,33.0
2868,DR T UNNIKRISHNAN,5,126790.0,Named Doctor,1,DR T UNNIKRISHNANS PRACTICE,UNNIKRISHNANS LIMITED,DR T KRISHNAMURTHY,25.871437,17.508952999999998,13.783732999999998,10.0,14.0,10.0
2869,DR T W ANDERSON AND PARTNERS,68,4299156.0,Named Doctor,1,T AND T ANDERSON,DR ANDERSON AND DR AHMED,W T PARTNERS LIMITED,16.985267999999998,16.853697,16.686146,18.0,12.0,19.0
2870,DR T WATKINS AND PARTNERS,203,7582948.0,Named Doctor,1,DR T P FOX AND PARTNERS,DR T KRISHNAMURTHY,DR T LWIN,15.741176999999999,13.783732999999998,13.783732999999998,7.0,15.0,18.0
2871,DR T WIN,19,596284.0,Named Doctor,1,DR T KRISHNAMURTHY,DR T LWIN,FLAGG COURT DR N WIN,13.783732999999998,13.783732999999998,13.505212,11.0,1.0,13.0
2872,DR TA SMITH AND DR P NIEMCZUK,78,2881945.0,Named Doctor,1,DR SMITHS CHARITY,DR AND DR LIMITED,DR ANDREW SMITH LIMITED,22.044155,20.212574,19.595326999999997,19.0,17.0,21.0
2873,DR TABNER J A AND PARTNERS,107,4543089.0,Named Doctor,1,STEPHEN J TABNER LIMITED,DR J BARRELL AND PARTNERS,DR J GREIG AND PARTNERS,17.14854,16.569315,16.569315,19.0,8.0,9.0
2874,DR TABOR AND PARTNERS,49,4622640.0,Named Doctor,1,TABOR ACADEMY,TABOR CENTRE,TABOR CENTRE,13.875312,13.875312,13.875312,12.0,13.0,13.0
